City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cabo San Lucas,MX,22.8909,-109.9124,89.62,66,75,10.36,broken clouds
80,Daru,PG,-9.0763,143.2092,78.44,90,90,13.22,overcast clouds
81,Isangel,VU,-19.55,169.2667,82.51,74,20,6.91,few clouds
82,Mataura,NZ,-46.1927,168.8643,40.48,99,100,2.91,light rain
83,Iqaluit,CA,63.7506,-68.5145,56.93,79,75,17.27,broken clouds
84,Jamestown,US,42.097,-79.2353,83.84,65,75,10.36,broken clouds
85,Two Rivers,US,44.1539,-87.5693,87.39,83,0,13.8,clear sky
86,Pevek,RU,69.7008,170.3133,34.45,99,100,11.18,light snow
87,Mount Isa,AU,-20.7333,139.5,60.57,31,40,13.8,scattered clouds
88,Setermoen,NO,68.861,18.3486,53.44,93,99,3.71,overcast clouds
89,Lazaro Cardenas,MX,17.9583,-102.2,80.29,82,92,3.67,overcast clouds
90,Cam Ranh,VN,11.9214,109.1591,78.76,78,40,3.44,scattered clouds
91,Alta Floresta,BR,-9.8756,-56.0861,85.98,35,99,2.17,overcast clouds
92,Punta Arenas,CL,-53.15,-70.9167,39.31,87,100,10.36,overcast clouds
93,Boa Vista,BR,2.8197,-60.6733,89.58,48,20,8.05,few clouds
94,Luena,AO,-11.7833,19.9167,54.86,39,0,3.49,clear sky
95,Saskylakh,RU,71.9167,114.0833,47.37,62,100,9.93,overcast clouds
96,Taltal,CL,-25.4,-70.4833,59.94,68,2,4.32,clear sky
97,Yulara,AU,-25.2406,130.9889,48.61,52,0,9.95,clear sky
98,Chokurdakh,RU,70.6333,147.9167,44.91,58,100,10.38,overcast clouds
99,Tessalit,ML,20.1986,1.0114,89.69,37,38,14.41,scattered clouds
100,Chifeng,CN,42.2683,118.9636,77.27,77,100,1.68,overcast clouds
101,Tucuman,AR,-26.8241,-65.2226,60.8,48,0,4.61,clear sky
102,Rikitea,PF,-23.1203,-134.9692,69.42,68,81,22.66,broken clouds
103,Campbellsville,US,37.3434,-85.3419,73.72,81,67,5.84,moderate rain
104,Kalundborg,DK,55.6795,11.0886,60.94,72,6,17.36,clear sky
105,Zlobin,HR,45.2924,14.6541,74.5,51,0,10.36,clear sky
106,Kaitangata,NZ,-46.2817,169.8464,37.8,94,100,3.33,light rain
107,Port Elizabeth,ZA,-33.918,25.5701,57.49,93,100,10.36,light intensity drizzle rain
108,Vila Velha,BR,-20.3297,-40.2925,73.35,84,75,9.22,broken clouds
109,Lasa,IT,46.6166,10.7002,65.28,98,100,1.54,overcast clouds
110,Chaman,PK,30.9236,66.4512,81.39,23,12,8.32,few clouds
111,Norway,US,45.7869,-87.9037,85.96,69,40,6.91,scattered clouds
112,Qaqortoq,GL,60.7167,-46.0333,43.74,94,95,6.67,overcast clouds
113,Batagay-Alyta,RU,67.8006,130.4114,47.01,91,100,2.04,overcast clouds
114,Ca Mau,VN,9.1769,105.15,76.17,88,100,10.6,overcast clouds
115,Zaozerne,UA,45.1582,33.2787,75.58,65,14,15.28,few clouds
116,Pafos,CY,34.7667,32.4167,80.38,74,40,10.36,scattered clouds
117,Sinazongwe,ZM,-17.2614,27.4618,66.7,46,0,3.02,clear sky
118,Avera,US,33.194,-82.5271,86.38,59,94,5.01,overcast clouds
119,Butzow,DE,53.85,11.9833,62.06,76,20,4.45,few clouds
120,Geraldton,AU,-28.7667,114.6,52.21,87,75,12.66,broken clouds
121,El Retorno,CO,2.3302,-72.6276,74.86,91,58,1.81,broken clouds
122,Puerto Madero,MX,14.7208,-92.4215,86.2,84,75,11.5,broken clouds
123,Kruisfontein,ZA,-34.0033,24.7314,54.88,88,100,11.81,light rain
124,Yeppoon,AU,-23.1333,150.7333,62.38,76,53,7.94,broken clouds
125,Port Alfred,ZA,-33.5906,26.891,57.18,96,100,1.99,light rain
126,Sayyan,YE,15.1718,44.3244,59.92,76,99,3.38,overcast clouds
127,Moron,AR,-34.6534,-58.6198,55.15,63,100,9.28,overcast clouds
128,Pingzhuang,CN,42.0372,119.2889,75.67,87,95,7.4,overcast clouds
